Concert ID,Date,Venue,City,State,Artists,Has Setlist
279,2006-09-26,FYE,New York,NY,Jerry Lee Lewis (headliner),False
28,1996-08-10,PNC Bank Arts Center,Holmdel,NJ,"Lynyrd Skynyrd (festival_performer), The Doobie Brothers (festival_performer)",False
280,2006-09-27,Giants Stadium,East Rutherford,NJ,"The Rolling Stones (festival_performer), Kanye West (festival_performer)",True
281,2006-09-28,Madison Square Garden,New York,NY,"Eric Clapton (headliner), Robert Cray (opener)",True
282,2006-09-30,Yonkers,Yonkers,NY,"Southside Johnny (festival_performer), the Asbury Jukes (festival_performer)",False
283,2006-10-11,Radio City Music Hall,New York,NY,James Blunt (headliner),True
284,2006-10-23,Stamford Center for the Arts,Stamford,CT,"Ian Anderson (festival_performer), Orchestra (festival_performer)",False
285,2006-11-01,Nassau Coliseum,Uniondale,NY,Elton John (headliner),True
286,2006-11-08,Paramount Hudson Valley Theater,Peekskill,NY,Donovan (headliner),False
287,2006-11-24,Towne Crier Cafe,Beacon,NY,Richie Havens (headliner),False
288,2006-11-28,Bridgeport,Bridgeport,CT,"The Who (festival_performer), The Pretenders (festival_performer)",False
289,2006-12-03,Beacon Theatre,New York,NY,Aerosmith (headliner),True
29,1996-08-23,Jones Beach Theater,Wantagh,NY,Melissa Etheridge (headliner),False
290,2007-01-25,Madison Square Garden,New York,NY,Bob Seger & the Silver Bullet Band (headliner),True
291,2007-01-31,Radio City Music Hall,New York,NY,"Rock Star Supernova (headliner), Dilana, Toby Rand and Dave Navarro (opener)",False
292,2007-02-08,Madison Square Garden,New York,NY,Rod Stewart (headliner),True
293,2007-03-14,Webster Hall,New York,NY,Fab Faux (headliner),False
294,2007-03-24,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
295,2007-03-25,Madison Square Garden,New York,NY,Elton John (headliner),True
296,2007-04-05,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
297,2007-04-17,MVP Arena,Albany,NY,Billy Joel (headliner),True
298,2007-04-28,Madison Square Garden,New York,NY,The Killers (headliner),True
299,2007-05-16,Paramount Hudson Valley Theater,Peekskill,NY,Stephen Stills (headliner),False
3,1995-08-18,Jones Beach Theater,Wantagh,NY,Diana Ross (headliner),False
30,1996-08-26,Jones Beach Theater,Wantagh,NY,"Neil Young (headliner), Jewel (opener)",True
300,2007-05-30,Madison Square Garden,New York,NY,Roger Waters (headliner),True
301,2007-06-03,FDR State Park,Yorktown Heights,NY,Richie Havens (headliner),False
302,2007-06-11,Beacon Theatre,New York,NY,Steely Dan (headliner),True
303,2007-06-20,NYCB Theatre at Westbury,Westbury,NY,Lynyrd Skynyrd (headliner),False
304,2007-06-29,Jones Beach Theater,Wantagh,NY,Bob Dylan (headliner),True
305,2007-07-02,Jones Beach Theater,Wantagh,NY,Rush (headliner),True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,"Live Earth (Dave Matthews Band (festival_performer), Roger Waters (festival_performer), The Police (festival_performer), Bon Jovi (festival_performer), Alicia Keys (festival_performer), John Mayer (festival_performer), Melissa Etheridge (festival_performer), Kanye West (festival_performer), Fall Out Boy) (festival_performer)",True
307,,Jones Beach Theater,Wantagh,NY,"ZZ Top (headliner), The Pretenders and Stray Cats (opener)",False
308,2007-07-28,Jones Beach Theater,Wantagh,NY,"Steve Miller Band (festival_performer), The Doobie Brothers (festival_performer)",True
309,2007-08-05,Giants Stadium,East Rutherford,NJ,The Police (headliner),True
31,1996-08-31,Jones Beach Theater,Wantagh,NY,"Joe Cocker (headliner), The Radiators, Thunderbirds and Buddy Guy (opener)",False
310,2007-08-09,Central Park,New York,NY,Black Crowes (headliner),True
311,2007-08-21,Jones Beach Theater,Wantagh,NY,"Allman Brothers (festival_performer), Ratdog (festival_performer)",True
312,2007-09-07,Tarrytown Music Hall,Tarrytown,NY,Roger McGuinn (headliner),False
313,2007-09-16,XL Center,Hartford,CT,Genesis (headliner),True
